tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,suggested_label,final_label,review_flag
1591191,328379,True,Wed Nov 08 17:38:55 +0000 2017,@SpotifyCares It is happening again...this is so annoying. https://t.co/g0GHVnXo8L,1591192,1591190.0,Playback & Audio,Playback & Audio,REVIEW
817720,314616,True,Thu Oct 12 21:08:51 +0000 2017,"@SpotifyCares I’m cryin, I love y’all",817722,817719.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
868511,326215,True,Fri Oct 13 15:00:03 +0000 2017,"Here’s a song for you… Here I Come by Deuce
https://t.co/sECBhezb0z
Oh my god deuce is back and I fucking love it!",868509,,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
632022,269800,True,Wed Nov 22 11:50:08 +0000 2017,@116130 but it’s been cut off....again🙄🙄🙄 https://t.co/qtkzO3Hoeq,632021,,Playback & Audio,Playback & Audio,
1028413,363335,True,Thu Oct 12 17:48:14 +0000 2017,"@SpotifyCares I've done it already. Can't you escalate this?  There are barely no french-canadian schools listed, although all on @115948. @71547",1028411,1028415.0,Content Availability,Content Availability,
2785004,777602,True,Sun Nov 26 23:11:47 +0000 2017,Opened up @115888 before getting on a plane and it said all the songs I downloaded are gone? What gives?,2785003,,App & Technical Issues,App & Technical Issues,
2815953,785038,True,Sun Nov 26 16:20:53 +0000 2017,"@SpotifyCares hey, i find Gfriend music in your apps but i can't find their ""LOL"" album....How about that ? Can you add the album to your apps ?? Thank you...😀😀",2815951,,Content Availability,Content Availability,REVIEW
1787637,537031,True,Wed Oct 11 17:19:14 +0000 2017,@115888 @116130 why is there no option for a ‘clear all’ in the recently played section? It’s very tedious doing it one by one 😴 #iphone,1787636,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
351213,199557,True,Sun Oct 08 10:11:18 +0000 2017,By the looks of it this is very common and no one has found a solution? https://t.co/PaLfaUg6A0 @115888 @116130,351211,,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
1021773,361804,True,Sun Oct 22 17:04:41 +0000 2017,"@SpotifyCares out of 4 cards none of them will accept my payment for my family account, what's up? 😒",1021772,,Billing & Payment,Billing & Payment,REVIEW
1003772,357581,True,Sun Oct 22 10:34:14 +0000 2017,@SpotifyCares @115888 Hopefully you will support blocking/hiding songs/playlists from a specific user/artist/album/genre/country.,1003771,,Feature Request / Feedback,Feature Request / Feedback,
2294409,666241,True,Sat Nov 11 21:48:07 +0000 2017,"Why doesn't @115888 have a Shazam-like plugin to listen, identify &amp; then ADD a song to a playlist... #YoureWelcome #RoyaltiesAccepted 😉",2294408,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
2317057,671796,True,Mon Nov 13 07:46:56 +0000 2017,@SpotifyCares I cancelled my subscription just for the moment. I'll be back next monday!!,2317059,2317056.0,Premium & Subscription,Premium & Subscription,
2061469,185395,True,Fri Oct 06 10:40:43 +0000 2017,@SpotifyCares Please look into this issue,2061468,2061470.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
291860,185505,True,Fri Oct 06 14:14:18 +0000 2017,@115888  When will you be supporting Alexa’s multiroom capabilities?,291858,,Feature Request / Feedback,Feature Request / Feedback,
2272789,661153,True,Sat Nov 11 09:30:44 +0000 2017,@SpotifyCares hi! i'd like to change my country so that i could be added to my roommates' family plan! pls assist,2272788,,Premium & Subscription,Premium & Subscription,
2304468,668633,True,Fri Oct 20 00:32:53 +0000 2017,@SpotifyCares Thanks https://t.co/3UO1otuQi6,2304470,2304467.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2875312,380335,True,Tue Nov 28 04:17:52 +0000 2017,"@115888
Hello, just paid for premium and am not getting the service",2875311,,Premium & Subscription,Premium & Subscription,
890181,331332,True,Sat Nov 25 09:05:48 +0000 2017,@SpotifyCares why has The Game - Blood Moon: Year Of The Wolf album been removed? And any chance we can get Kano - 140 Grime St added? Thanks 😁,890179,,Content Availability,Content Availability,
2924066,73793,True,Wed Nov 29 01:30:28 +0000 2017,@SpotifyCares Any promotions for someone who wants to sign up to Premium?,2924065,,Premium & Subscription,Premium & Subscription,
875176,327788,True,Thu Oct 19 20:47:47 +0000 2017,@SpotifyCares Fyi - The iOS version of Spotify doesn't seem to have this issue.,"875175,875177",875178.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2720681,763397,True,Mon Nov 20 17:10:00 +0000 2017,@SpotifyCares @SpotifyCares took care of my very lengthy issue. Very professional and nice to see someone actually believes in great customer service! 😀😀😀,2720683,2720680.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2580735,731468,True,Thu Nov 16 21:02:21 +0000 2017,@115888 guys when will I be able to stream directly to my Apple Watch 3 LTE?,2580734,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
1801863,541401,True,Fri Oct 13 09:14:53 +0000 2017,Hey @115888  why isn't the DVSN record available for streaming in Norway? Only four of thirteen tracks available 😓,1801862,,Content Availability,Content Availability,
1280109,419515,True,Thu Oct 26 17:00:16 +0000 2017,@SpotifyCares Do something we're not taking it this time around,1280111,1280107.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
1780430,534907,True,Wed Oct 11 20:30:56 +0000 2017,"@SpotifyCares I’d love it if when you click on artists, it would just show the artists you follow. not everyone you’ve saved a song from.",1780429,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
1901787,382453,True,Tue Oct 24 02:48:36 +0000 2017,@115888 @SpotifyCares,1901786,1901788.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2216032,647482,True,Fri Nov 10 03:57:55 +0000 2017,Can we all just stop what we’re doing and ask why is @5413’s Metamorphosis not on @115888?,2216031,,Content Availability,Content Availability,REVIEW
2549590,724403,True,Mon Oct 30 10:26:17 +0000 2017,Please fix your @13281 integration on @117014 4 though ok please @SpotifyCares  cheers.,2549588,2549592.0,App & Technical Issues,App & Technical Issues,REVIEW
1865415,557307,True,Fri Oct 20 15:22:45 +0000 2017,"@SpotifyCares a lot of Iraqi people want to use Spotify but it's not supported, is there Chance that be supported in Iraq ?",1865414,,Content Availability,Content Availability,REVIEW
1101305,379842,True,Mon Oct 23 20:52:55 +0000 2017,@115888 wanna accept my request so my music can be on there too.,1101304,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
2583355,732087,True,Thu Nov 16 23:28:44 +0000 2017,@SpotifyCares Thank you Spotify I know you care I always trusted you. You’re like an Aunty to me. Never leave me. Im bouTTA START THROWING HANGS AT BigSHIT THO WASSGUD https://t.co/18kX1gpAIS,2583357,2583354.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2981984,822458,True,Thu Nov 30 04:40:12 +0000 2017,when should i expect my top songs of 2017 @115888,2981983,,How-to / General Question,How-to / General Question,REVIEW
46654,125640,True,Wed Nov 01 16:50:01 +0000 2017,"@126370 @115888 That's a relief, I always smash the skip button 👌",46653,46655.0,Noise / Unclassifiable,Noise / Unclassifiable,
2862749,795219,True,Mon Nov 27 20:25:17 +0000 2017,"@SpotifyCares my computer isn’t working and I’m trying to update my credit card info before it’s billed again, is there a way of doing that in the phone app? Ps personally i would prefer telephone support but maybe that’s just me 🤷🏼‍♀️",2862748,,Billing & Payment,Billing & Payment,REVIEW
783585,307033,True,Sat Oct 07 19:29:38 +0000 2017,@SpotifyCares hey guys do you kindly wanna offer me a deal for a first time subscription buyer? #cheeky #tryingmyluck,783584,,Premium & Subscription,Premium & Subscription,
850029,321972,True,Fri Oct 20 15:37:10 +0000 2017,"@SpotifyCares Force closing Spotify temporarily fixes the issue, but then it will do it again quickly within the next session.",850030,850028.0,App & Technical Issues,App & Technical Issues,REVIEW
1827261,548424,True,Wed Oct 18 16:34:36 +0000 2017,"@SpotifyCares that's not an answer. Why can't I change my address for a family account? Why do you have this rigid, brittle system?",1827262,1827260.0,Premium & Subscription,Premium & Subscription,
2769146,148802,True,Tue Nov 21 09:42:08 +0000 2017,"@127637 Bonjour, sous combien de temps puis je espérer avoir une réponse après avoir fait une requête pour distribuer un podcast sur Spotify ? Merci :)",2769145,,How-to / General Question,How-to / General Question,REVIEW
2916609,783421,True,Tue Nov 28 21:23:18 +0000 2017,"Spotify is DOWN omgggg, what am I gonna do

@115948 are you there???",2916606,,App & Technical Issues,App & Technical Issues,REVIEW
1026515,362892,True,Sat Oct 14 13:11:15 +0000 2017,@SpotifyCares (sorry this took so long) i have version 1.0.65.320.gac7a8e02 running on OS High Sierra,1026513,1026519.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
1786256,536662,True,Wed Oct 11 15:09:35 +0000 2017,"@SpotifyCares Hello, I believe a fraudulent charge was made on my Spotify acct.  Please let me know who I can talk to at Spotify about this",1786255,,Billing & Payment,Billing & Payment,
1778059,534227,True,Wed Nov 08 00:01:32 +0000 2017,"@115888 what happened to the ""Weekend Party"" playlist aka the best playlist ever??  What am I supposed to do now??",1778058,,Playlist & Library,Playlist & Library,
2985574,823245,True,Thu Nov 30 06:51:31 +0000 2017,"@SpotifyCares I cannot find the email address linked to my premium account and nor do I have the password, is there anything you could do?",2985573,,Account & Login,Account & Login,REVIEW
2699557,758398,True,Sun Nov 26 21:16:38 +0000 2017,"@SpotifyCares Hi,I was trying to activate the premium pack for 0.99€ and I got charged 5 times.",2699556,,Billing & Payment,Billing & Payment,REVIEW
2061017,609555,True,Fri Oct 06 08:10:41 +0000 2017,@SpotifyCares Are you ever going to do an Apple Watch app? Where you can download playlists etc.? It’s in demand!!!!,2061016,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
2203761,644376,True,Thu Nov 09 21:51:46 +0000 2017,@115888 Will #reputation be available on Spotify with its release?,2203760,,Content Availability,Content Availability,REVIEW
1964580,582429,True,Tue Oct 31 06:06:45 +0000 2017,@SpotifyCares And Oblivion was actually playing btw,1964576,1964591.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2807545,782996,True,Mon Nov 27 19:43:42 +0000 2017,@SpotifyCares  https://t.co/ohqkkkiYkr,2807548,2807544.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
190098,160575,True,Wed Oct 04 22:40:13 +0000 2017,"@SpotifyCares nuuuuuuh 🐻😭
alrighties and thank you for the help!",190097,190099.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
145916,149093,True,Fri Nov 24 09:17:34 +0000 2017,@115888 You can only avail the ₱9 for 3 months if you use a credit card 😞,145914,145918.0,Noise / Unclassifiable,Noise / Unclassifiable,
2301129,153614,True,Sun Nov 12 14:51:47 +0000 2017,"Wait
That’s like a bit far away from 
„Recently“ for me to be honest …
Maybe a newer update from you? @SpotifyCares https://t.co/erHahGcrPF",2301128,,Noise / Unclassifiable,Noise / Unclassifiable,
2721860,763661,True,Mon Nov 20 09:09:36 +0000 2017,@115888 @115888 having problems with updating of most listened artists on profiles? Mine has been the same for months,2721858,2721862.0,App & Technical Issues,App & Technical Issues,REVIEW
1338269,144914,True,Fri Oct 27 14:00:34 +0000 2017,@SpotifyCares where's the new @425725 album at?,1338268,,Content Availability,Content Availability,REVIEW
2289898,665229,True,Sun Nov 12 06:13:43 +0000 2017,"@SpotifyCares Outsource it or something then
My people need music
Better managed and legal
Hurry up please",2289900,2289897.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
44237,125829,True,Sat Nov 25 16:33:00 +0000 2017,@SpotifyCares why can't i use my mobile account to pay for my premium all of a sudden when i have for the last 6 months?? Ee have said there ia no problem thier end?,44236,,Billing & Payment,Billing & Payment,
1150646,390770,True,Sat Oct 14 23:22:26 +0000 2017,"@SpotifyCares ""epic collection friend. your library is all filled up..."" Are you kidding me?","1150644,1150651",,Noise / Unclassifiable,Noise / Unclassifiable,
2058723,608888,True,Sat Oct 07 05:17:27 +0000 2017,@SpotifyCares Quick question: Is there a place where I can see the new music from all artists I follow without having to check them each?,2058721,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
557243,250113,True,Sat Dec 02 10:33:58 +0000 2017,"@115888 asks me to buy this type of subscription, but forgets to add a “buy” or “subscribe” button. I wonder how much they could have earned if they did add the button 🤔 https://t.co/LNoTZWrSEp",557242,,App & Technical Issues,App & Technical Issues,
303545,188465,True,Fri Oct 06 19:22:33 +0000 2017,@SpotifyCares @AppleSupport iPhone is showing wrong song when phone is locked and playing music on Spotify. Phone or Spotify issue?,"303543,303546",,Playback & Audio,Playback & Audio,
1051998,368611,True,Fri Oct 13 01:57:42 +0000 2017,"@SpotifyCares I am getting a message that my payment information failed, but I signed up for the family plan with my wife and my account...",1051997,,Billing & Payment,Billing & Payment,REVIEW
2919332,798270,True,Tue Nov 28 21:23:05 +0000 2017,@117153 hello. what's going on? #FirstWorldProblems,2919331,,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
1899649,566142,True,Mon Oct 23 18:45:20 +0000 2017,@115888 There should be a hashtag trending which requests and in a way forces you to bring Spotify to India. #bringSpotifytoIndia :),1899648,,Content Availability,Content Availability,REVIEW
2758315,189197,True,Tue Nov 21 02:54:51 +0000 2017,Has @115833 multiroom audio come to  @SpotifyCares yet?,2758314,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
2141727,629771,True,Wed Nov 08 22:30:27 +0000 2017,@SpotifyCares  You charge me but keep DELETING my premium account! What  is wrong with this outfit???? Why can't username Botttz log in all of the sudden???Getting tired of losing playlists!!!!!!!!!!!!!!!!!!!!!!!!!,2141726,,Account & Login,Account & Login,REVIEW
649944,274517,True,Wed Nov 22 19:23:52 +0000 2017,Partnership: @115888 and @115940 should up their relationship with a $15 #AdFree Family Plan in addition to their popular $5 Student Plan. #SaveSomeGreen https://t.co/AZnE6BVZ1J https://t.co/h8ac4gCwgk,649943,,Feature Request / Feedback,Feature Request / Feedback,
2552634,725061,True,Thu Nov 16 14:54:05 +0000 2017,"wait, why is take care off of @115888 !?",2552632,,Content Availability,Content Availability,REVIEW
2246183,654641,True,Fri Nov 10 22:02:58 +0000 2017,"@SpotifyCares Yeah the playlists stayed downloaded, and I’ve re downloaded some of my albums, cheers",2246182,2246184.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
1644809,502629,True,Sun Nov 05 23:25:17 +0000 2017,@115888 It’s also gone from the control center - it’s prob something simple but google has me confused...I don’t like technology #IPhone #Spotify,1644807,1644815.0,App & Technical Issues,App & Technical Issues,REVIEW
548698,247703,True,Sat Dec 02 07:42:11 +0000 2017,I.CANT.REGISTER!!! 😭 @SpotifyCares https://t.co/6mdOBPMhBJ,548697,,Account & Login,Account & Login,REVIEW
2164240,277945,True,Thu Nov 30 01:35:12 +0000 2017,@115888 Premium subscribers should get a deal once in awhile.,2972940,2164239.0,Feature Request / Feedback,Feature Request / Feedback,
2225647,296478,True,Fri Nov 10 08:01:09 +0000 2017,Wait is #reputation not on @116130?,2225646,,Content Availability,Content Availability,REVIEW
2371460,684245,True,Tue Nov 14 00:15:38 +0000 2017,@115888 My uncle is trying to cancel his account and can't remember the email or username he used. Is there a way around that?,2371459,,Account & Login,Account & Login,REVIEW
2572208,729391,True,Thu Nov 16 18:42:49 +0000 2017,"Why is Take Care not on @115888 anymore?
Does this have to do with Apple Music? This has gone too far. When will the rivalry stop",2572207,,Content Availability,Content Availability,REVIEW
720782,292510,True,Fri Oct 06 13:30:13 +0000 2017,"Hey @115888 @SpotifyCares can you spot the #dissonance?
#actuallynotforeveryone https://t.co/8vqdivZGqL","720781,720783",,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2912555,806262,True,Tue Nov 28 20:44:07 +0000 2017,@SpotifyCares @115888 why isn’t my premium working please and thank you,2912554,,Premium & Subscription,Premium & Subscription,
726812,294100,True,Wed Oct 11 08:48:01 +0000 2017,@SpotifyCares  https://t.co/9cuT63nyCx,726814,726811.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2817,277999,True,Sat Nov 25 03:30:35 +0000 2017,"@115888 Why am i being charged of 129.00 pesos for premium. It says, 3 months for 9.00 pesos only? @SpotifyCares I haven't tried premium before, it's my first time to upgrade premium😠😳",663081,2812.0,Billing & Payment,Billing & Payment,REVIEW
2059393,192672,True,Sat Oct 07 09:31:56 +0000 2017,is @115888 for iOS devices only ?,2059392,,How-to / General Question,How-to / General Question,REVIEW
1029049,363485,True,Fri Oct 20 12:56:19 +0000 2017,@115888 @2069 When the app will be available to LG SmarTV webOS 3??,1029048,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
1872131,559046,True,Fri Oct 20 01:55:18 +0000 2017,@SpotifyCares y’alls system for management is crap I got charged for our family plan I expect my family to be able to listen. Fix ur system,1872130,,Premium & Subscription,Premium & Subscription,REVIEW
2118791,624417,True,Wed Nov 08 12:21:08 +0000 2017,My @115888 is full? Is that a thing? Now what?!?! https://t.co/qzdskrapc8,2118790,,How-to / General Question,How-to / General Question,REVIEW
2023805,598522,True,Mon Nov 06 10:42:48 +0000 2017,Okayyyy but where’s hello? Aka my favorite song? @115888 @SpotifyCares https://t.co/UHT4gVI0Uz,2023804,,Content Availability,Content Availability,REVIEW
2215915,647439,True,Fri Nov 10 05:17:27 +0000 2017,"@SpotifyCares Imported my music from Groove, Successful on Windows 10 and phone. not successful on Xbox1. Tried to import directly on that platform without success. Uninstalled and reinstalled app without success. Please advise. I want to go premium, but Xbox is primary platform.",2215914,,App & Technical Issues,App & Technical Issues,
284092,183663,True,Fri Oct 06 11:37:09 +0000 2017,@117153 I've paid for the premium account but it's still not working can I know why pls?,284091,,Premium & Subscription,Premium & Subscription,REVIEW
2507895,714997,True,Sat Oct 28 17:11:04 +0000 2017,"@SpotifyCares  I have  premium account and log in via Facebook.   I get the message someone else is using my spotify, when I am on Sonos.",2507894,,Account & Login,Account & Login,REVIEW
2481560,709057,True,Sun Oct 29 18:22:49 +0000 2017,@SpotifyCares I'm being over charged on my premium subscription --A regular account rather than a student like I've been paying for months,2481559,,Billing & Payment,Billing & Payment,REVIEW
966374,246416,True,Sat Oct 21 21:18:30 +0000 2017,@115888 hey guys. You've charged me twice this month. Same amount. Maybe I'm being stupid but I don't know why. Pls help.,966373,,Billing & Payment,Billing & Payment,
314544,191102,True,Sat Oct 07 06:24:40 +0000 2017,"@SpotifyCares the spot on alarm doesn't work at all, idk if it's bc it hasn't been released but it's not working","314543,314545",,App & Technical Issues,App & Technical Issues,
2857489,794177,True,Wed Nov 29 21:06:53 +0000 2017,@SpotifyCares Still waiting!,2857490,2857487.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
1283287,420189,True,Thu Oct 26 18:25:02 +0000 2017,@SpotifyCares Okay thank you,1283288,1283286.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
652857,275230,True,Thu Oct 05 09:55:29 +0000 2017,@SpotifyCares Thank you!!,652856,652858.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2984774,823054,True,Thu Nov 30 06:05:36 +0000 2017,@115888 would make hella bank if they had a sleep timer function,2984773,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
1874716,126981,True,Sat Oct 21 19:22:00 +0000 2017,"@SpotifyCares Hi, I was charged £9.99 for this months subscription, even though I've got a student account? I want to be refunded!",1874715,,Billing & Payment,Billing & Payment,REVIEW
1188280,399435,True,Wed Oct 25 00:02:36 +0000 2017,"If y’all do nothing else @115888, find a way to get this on there. https://t.co/VDsbbPQDgN",1188279,,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
1698000,515015,True,Tue Nov 28 01:39:53 +0000 2017,@SpotifyCares I did that and also uninstalled Spotify and reinstalled and ensured the storage setting was set to the SD card before downloading my playlists. Same issue.,1698001,1697999.0,App & Technical Issues,App & Technical Issues,REVIEW
654548,275708,True,Wed Nov 22 23:23:47 +0000 2017,@SpotifyCares I finally figured it out lol! Sorry!,654550,654547.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
1254522,414259,True,Mon Oct 16 03:05:02 +0000 2017,I'm so annoyed that Spotify doesn't have a customer service line,1254520,,Feature Request / Feedback,Feature Request / Feedback,REVIEW
189898,250748,True,Sat Oct 14 02:03:47 +0000 2017,@115888 Can anyone other than students get some love? Woulda been a nice deal to get when I was in school,1799167,189825.0,Feature Request / Feedback,Feature Request / Feedback,REVIEW
1997120,590516,True,Fri Nov 03 16:03:51 +0000 2017,@SpotifyCares - I've tried 3x to email support to cancel my daughter's acct. My Credit Card is still being charged after I told u to cancel,1997119,,Billing & Payment,Billing & Payment,
1836259,464803,True,Wed Oct 18 05:53:51 +0000 2017,@SpotifyCares It’s really odd because then my app will start working normal again. Is there a way that this can be fixed. Thank you! 🤓,1836258,1836260.0,App & Technical Issues,App & Technical Issues,REVIEW
2716524,762521,True,Mon Nov 20 06:11:04 +0000 2017,"@SpotifyCares It's a Win7 PC, version is 1.0.67.582.g19436fa3",2716522,2716526.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2734623,766429,True,Mon Nov 20 18:41:04 +0000 2017,"Help @SpotifyCares yesterday all my music showed on my account, today it's all gone, over 30gb worth wiped from the phone. no artists no album saved what's happened?",2734621,,App & Technical Issues,App & Technical Issues,REVIEW
1344859,433605,True,Fri Oct 27 15:46:32 +0000 2017,Kpop section on @SpotifyCares is really lacking :( https://t.co/vM7dBziI2b,1344857,,Content Availability,Content Availability,REVIEW
659576,277062,True,Thu Nov 23 00:32:09 +0000 2017,@SpotifyCares I love you 😂 yeah we can,659578,659575.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
388129,207863,True,Mon Oct 09 12:24:41 +0000 2017,@12754 Family invites to my daughters mail (gmail) does not get through. Please advice on what to do,388128,,Premium & Subscription,Premium & Subscription,REVIEW
1837741,550911,True,Wed Oct 18 18:19:37 +0000 2017,@SpotifyCares I’ve removed and re-added. Nothing. Old downloads are fine!,1837743,1837740.0,App & Technical Issues,App & Technical Issues,
2912539,806255,True,Tue Nov 28 20:12:10 +0000 2017,@SpotifyCares hey guys I can access music I’ve downloaded but can’t search? https://t.co/upL4dHpIk2,2912538,,App & Technical Issues,App & Technical Issues,REVIEW
2896729,268655,True,Tue Nov 28 15:16:15 +0000 2017,".@115888 @117168 @SpotifyCares Is it possible to add a tile on home screen for new releases from artists I follow? Just looked through new releases, nothing by my fave artists, have to go artists page to find new release. Would be nice to have in 1 place. Thanks 😊",2896728,,Feature Request / Feedback,Feature Request / Feedback,
575121,255311,True,Sun Dec 03 13:48:14 +0000 2017,"@SpotifyCares When I go to Programs and click “Uninstall,” it shows me the same message as when I try to open Spotify. That it’s missing ‘api-ms-win-core-processthreads-|1-1-1.dll’",575122,575120.0,App & Technical Issues,App & Technical Issues,REVIEW
1983324,587049,True,Wed Nov 01 22:07:57 +0000 2017,why didn't we get harry singing just a little bit of your heart on @115888,1983323,,Content Availability,Content Availability,REVIEW
2582054,731779,True,Thu Nov 16 22:51:52 +0000 2017,@115888 put Lil peeps hellboy back on Spotify,2582053,,Content Availability,Content Availability,REVIEW
2853025,199354,True,Tue Nov 28 07:08:58 +0000 2017,"@SpotifyCares Thanks I’ll have a play with it. Must admit though, I’ve just adjusted music quality and can’t tell difference between normal and extreme",2853026,2853024.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
2780785,776644,True,Tue Nov 21 16:11:24 +0000 2017,@115888 hi. Spotify premium keeps telling me I'm offline even when I'm logged into Wi-Fi. Is there an issue at the moment?,2780783,,App & Technical Issues,App & Technical Issues,
1705028,516796,True,Mon Nov 06 21:06:35 +0000 2017,@SpotifyCares I've just got some Google Chromecast speakers. How do I remove my old Spotify Connect speaker? https://t.co/dUFySGOoGw,1705026,,How-to / General Question,How-to / General Question,
1905336,567763,True,Wed Oct 25 11:00:34 +0000 2017,Any chance the @1922 family of podcasts will be on @115888 any time soon? Currently I’m only seeing Weekend. #please,1905335,,Content Availability,Content Availability,REVIEW
1936648,576169,True,Fri Oct 27 22:55:44 +0000 2017,@SpotifyCares https://t.co/cL4mANIu5Q and UK,1936650,1936647.0,Noise / Unclassifiable,Noise / Unclassifiable,REVIEW
