tweet_id,customer_message_llm,drafted_reply_llm,relevance,tone_fit,groundedness,actionability,notes,customer_message_human,drafted_reply_human,human_relevance,human_tone_fit,human_groundedness,human_actionability
1514286,@SpotifyCares Your site is freezing while listening to music https://t.co/Xr11TVVjYR,"@123456 Hey, we’re on it! What device, operating system, and Spotify version are you using? We’ll see what we can suggest /RA",5,5,5.0,3.0,Lowest score due to lack of a clear next step or solution for the user.,Your site is freezing while listening to music,"Hey, we're on it! What device, operating system, and Spotify version are you using?",4,4,4,4
1378813,@SpotifyCares When I click certain songs nothing happens. Same thing happened to my friend,@123456 Hey! That’s not cool. Try logging out ➜ restarting the device ➜ logging back in—does that help? Keep us posted /CG,5,5,5.0,5.0,All criteria are strong,When I click certain songs nothing happens. Same thing happened to my friend,"Try logging out, restarting the device, logging back in-does that help?",4,4,4,4
2484443,Spotify is just trolling at this point. Two updates and no iPhone X optimization @115888,@115888 Hey! We hear you—our devs are on it and will share updates as soon as we have them. Thanks for your patience /NY,3,4,4.0,2.0,No,Spotify is just trolling at this point. Two updates and no iPhone X optimization,We hear you-our devs are on it and will share updates as soon as we have them,3,4,3,2
2629117,@115888 where is the perfect velvet😔,"@115888 Hey! Don’t worry, we’ll have it available to you as soon as it’s available to us. We have more info about Spotify content at https://t.co/0i8GpimuDa. Let us know if you need more help /NY",1,3,4.0,2.0,The reply does not address the customer’s specific request about “the perfect velvet.”,where is the perfect velvet😔,"Don't worry, we'll have it available to you as soon as it's available to us",2,4,3,2
2691960,@SpotifyCares Now that’s service! https://t.co/OMxOT0F9z3,@123456 Thanks for the love! Glad we could help. Let us know if there’s anything else you need /KB,5,5,,,,Now that's service!,Thanks for the love! Glad we could help.,5,5,5,4
2602374,"@SpotifyCares Hmm, so is the iPhone issue an @115858 problem or a ""Spotify is making money off the data somehow"" problem? This isn't something new.","@115858 Got it. Could you share the iPhone model, iOS version, and Spotify app version? We’ll dig into it /MT",4,3,5.0,4.0,Tone is slightly formal for a casual support tweet.,so is the iPhone issue a problem or a Spotify is making money off the data problem?,"Could you share the iPhone model, iOS version, and Spotify app version?",3,3,4,4
1644809,@115888 It’s also gone from the control center - it’s prob something simple but google has me confused...I don’t like technology #IPhone #Spotify,@115888 Hey! Could you let us know your iOS and Spotify app versions? We’ll see what’s going on /RH,4,4,5.0,4.0,Slightly informal tone could be tightened for a more professional feel.,It's also gone from the control center...google has me confused...I don't like technology,Could you let us know your iOS and Spotify app versions?,4,4,4,4
780954,@115888 @SpotifyCares what’s the presale code for @26720???,@115888 Hey there! Pre‑sale codes are sent out via email to a select group of the biggest fans on Spotify. Hopefully you’re one of them 🙂 /KL,1,4,1.0,1.0,The reply does not address the customer’s request for a presale code.,what's the presale code for @26720???,Pre-sale codes are sent out via email to a select group of the biggest fans on Spotify,2,4,2,1
1513486,@SpotifyCares Is this something that will be fixed shortly? I like seeing when exactly in the year things were released,"@123456 Thanks for reaching out. We don’t have a release date to share right now, but we’ll keep you posted when we do /LP",4,3,5.0,2.0,No clear next step or guidance for the customer.,Is this something that will be fixed shortly? I like seeing when exactly in the year things were released,"We don't have a release date to share right now, but we'll keep you posted",5,4,5,3
1877948,@spotifycares That's on an Andriod BTW. Samsung S7,"@123456 Got it. Does logging out, restarting your phone, and then logging back in help? Let us know if the issue persists /LP",4,4,5.0,4.0,"Lowest score is 4, not 5, because the reply could be slightly more specific to the device context.",That's on an Andriod BTW. Samsung S7,"Does logging out, restarting your phone, and then logging back in help?",4,4,4,4
