customer_tweet_id,customer_text,reply_tweet_id,reply_text
2034375,"@115888 hey spotify, why many of the older albums of Archive have just vanquished from my playlist? :(",2034374,"@601513 Hi there. Sometimes content becomes unavailable due to licensing. More info at https://t.co/YlV1IAXwsi. Any questions, just shout /LM"
1099884,@SpotifyCares under account manage my name shows only numbers same when i share my profile but in apps shows my correct name Can solve this?,1099883,@379542 Hey Diego! Can you DM us your account's email address? We'll check backstage /AR https://t.co/ldFdZRiNAt
1351972,I hate that @115888 never wants to work on my Playstation 4.,1351971,@129336 Hey Courtney! What exactly is going on with your Spotify on the PS4? We'll do our best to help you out /BH
623009,Any plans to add taylor swift’s reputation album? @115888,623008,"@267880 Hey Ron, we’ll have it available to you as soon as it’s available to us! For now, check out the singles: https://t.co/3h0TnPWP0c /LO"
1724994,"@SpotifyCares I tried again to get into hulu for students, but it keeps saying my account cannot be verified!",1724993,@519039 We've sent you a DM. We'll carry on chatting there /LO
353155,@SpotifyCares hey i have a problem with the payment  with my credit card can you help me ?,353154,@199965 Hi Alex! We've just sent a DM your way. Let's carry on chatting there /MT
2639830,@SpotifyCares Just did that didn’t fix it 😕,2639828,"@744991 Just to check, is this happening over WiFi, 3G/4G, or both? /LM"
2871475,"@SpotifyCares Safari is a real browser, and the default Mac one. Let me play my music there! #dumb",2871474,"@248104 Hey Jeff! We appreciate your feedback, but we have the list of the web browsers that supports our web player here: https://t.co/I04hHFhrIX /PL"
2295632,@115888 @SpotifyCares guess you guys will keep taking the monthly premium money while we keep paying it,2295631,"@666573 Hi Martin! We're afraid we don't offer phone support at the moment, but we can help here. Can you DM us your account's email address? /GT https://t.co/ldFdZRiNAt"
1099429,Hey @115888 any sign of #HiRes streams on the horizon? #IllKeepAsking,1099428,"@379441 We don't have any info on this right now, but you can show your support for Lossless streaming by voting here: https://t.co/jA0OzJ0OO3 /TB"
1747050,"@118190 @526678 You too, @115888 and @SpotifyCares: https://t.co/HrfAZNLLIH https://t.co/1vEqOhPxmx",1747048,"@420893 Hey! That's odd. What device, OS, and Spotify version are you using? Also, how long has this been happening for? /CB"
1256045,@SpotifyCares I believe it’s the phone.  I listened to a podcast in a different app and it did it as well.  Thanks for checking!!,1256047,"@414488 No worries. If there's anything else we can help with, just let us know. We'd be happy to help 🙂 /LO"
855245,Every day @115888 automatically opens and every day I tell it to not do that but it always changes back https://t.co/i8jkrSA64S,855244,@323125 Hey there! Can you try closing the app then restarting your device to see if it still launches automatically? Keep us posted /AR
446890,@SpotifyCares I'm using Mac OSX 10.9.5. I'm on premium for family but my son can't access it any more &amp; I can't fix it because there is a blank screen when I try to check who's included. See screenshot. https://t.co/jYbWtyl1mW,446889,"@220864 Hey there, help's here! Could you DM us your account's email address and username, as well as your son's account's info? We'll take a look backstage /CG https://t.co/ldFdZRiNAt"
1800358,@115888 please take out the scary movie commercials in between songs. That shit scary as hell.,1800357,"@540934 Hey! Sorry, we didn't mean to scare you. We'll pass your feedback on to our Ads team. For anything else, we're just a tweet away /AN"
2458982,@115888 @SpotifyCares Again you have forgetting #spotifyforgets #badform #spotifydoesntcare,2545271,@704230 We're sorry you feel that way. It seems we don’t have enough data yet to find the right tracks for your Radio. Check out https://t.co/BSrd71XWKW to grow your listeners /DV
1002339,@SpotifyCares I don't want my fb to be connected to my Spotify..dont wanna lose my saved songs too. How can I have new acc with my current songs,1002338,@357275 Can you send us your account's email address or username via DM? We'll see what we can suggest /LR https://t.co/ldFdZRiNAt
2608700,"@SpotifyCares hi, i can’t renew my spotify premium because it says my card isn’t working when i’ve tried 4 different cards and none of them are working either??",2608699,@737886 Hey Alice! We've just sent a DM your way. Let's carry on chatting there /AN
2916668,@115888 I don't pay $10 a month for this shit https://t.co/nf8QfYYn51,2916667,"@807313 Hey there!  Currently, you can only download 3,333 songs for offline use per device, on a maximum of 3 different devices. We'd suggest supporting this idea in our Community to help make the increase happen: https://t.co/Z9OErWpTNz /AR"
563483,"@SpotifyCares 
I have an account and when I try to login it says to enjoy abroad music tell us where you are what does that mean??",563482,@251936 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt
2545268,"@SpotifyCares Yes I have questions, firstly what team? When will they review? What is the teams email so we can contact directly? How much data do you need to create similar artist radio? #answers #notdistractions #spotify",2545270,"@704230 No worries. Just to check, can you DM us the email address you got in touch with when you tried to contact us? We'll look out for your reply /DV https://t.co/ldFdZRiNAt"
587527,"I made the mistake of updating @115888 - don't do it, much slower and some functions are broken!!!",587526,"@258795 Hey there! Help's here. What's happening exactly? Can you let us know the device, operating system and app version you're using? We'll see what we can suggest /PB"
2364832,@115888 how do I get Spotify presale codes ??,2364831,@682741 Hey there! Pre-sale codes are sent out via email to certain select artist's biggest fans on Spotify. Hopefully you're one of them 🙂 /KL
139105,@115888 i like the fact that y'all had a good lyrics feature and deleted it in favor of a lyrics feature that is only supported on mainstream music,139104,@147348 We hear you! We're passing on all feedback around this – thanks for sharing your thoughts /DR
2424862,Hi @117168 @SpotifyCares can you add @79345 to #Spotify #Please #NanoRipe,2424861,@696359 Hey there. We'd love to have them on Spotify! Hopefully we will in the future. Check this out: https://t.co/MEjmIRL2eB /PB
979822,@SpotifyCares Can i get some help please,979821,@352350 Hey! We've already replied to your DM. Let's continue chatting there /NY
1833538,@125633 Do you have lots of art inventory that needs a new loving home? Artists apply at https://t.co/mZpiETOMH1.,1833537,@550022 Hey there! Our friends at Artist Services would be able to better assist you. You can contact them here: https://t.co/3j9HWSEG0s /KP
2202376,@115888 I need to see who is following my playlists so I can see who is *not* following my playlists u feel me?,2202375,"@644023 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /GU"
100176,"@117153 Looks like you're down again today, won't play on my desktop in Chrome or Firefox.",100175,"@137957 Hey there, help's here! Does clearing your cache/cookies help? You might also want to try using an incognito window. Let us know how it goes /TX"
2956307,"@115888 I need you to get tools discography available to stream, this is my only Christmas wish",2956306,"@816040 Hi Dennis! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/1dgftcFtzc /XF"
1793991,Hey @SpotifyCares my prem a/c is now free because you ended your partnership with @34856 how do I get it back to Prem? They won't help me.,1793990,@539111 Hey there! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt
2082625,@SpotifyCares It says I'm using free but premium still works and it's still making me pay. Please help. https://t.co/Z5R2tXB0js,2082624,@615908 Hi there! Could you send us a DM with your account's email address and username? We'll take a look behind the scenes /NJ https://t.co/ldFdZRiNAt
2138977,"@SpotifyCares Another app updated, no iPhone X full screen support. What the hell are you guys playing at?!?! You’re a massive company, even the small app companies have iPhone X full screen support. You need to up your game right away or I’m going to simply switch to Apple Music. Disgusting!",2138978,"@629092 We understand your frustration, and rest assured we're passing on all feedback to our devs. Hopefully we'll have an update soon /RB"
1860233,@SpotifyCares i have no other Windows phone devices... it dosnt happen on my Surface 3...,1860234,@556105 We understand. Can you DM us your account's email address or username? We'll take a look under the hood /PB https://t.co/ldFdZRiNAt
1358449,i wish there was a button on @115888 that let me opt out of any and all remixes on my playlists,1358447,@181820 We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF
1056609,@115888 why the fuck did you think it was a good idea to remove the long touch song preview feature,1056607,@369471 Hey! We have more info about this here: https://t.co/pXBCq8XWkg. Give us a shout if you have any questions /AR
1033859,@SpotifyCares proof that it has been cancelled https://t.co/Inf0KOVt6y,1033858,"@364588 2: using the ""Send a private message"" link below? /NQ /NQ https://t.co/ldFdZRiNAt"
611846,@SpotifyCares Slide into my DMs?,611845,@265490 You can send the URIs to us via DM. We'll be right here waiting /LO https://t.co/ldFdZRiNAt
1872487,"di release radar @118266 muncul lagu yanglek. dulu gua berharap banyak loh sama spotify, kenapa makin sering dikecewakan gini ya. 😭",1872486,"@559151 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70SUdKc /RH"
808954,hey @115888 please stop advertising cars to me I cannot drive. Your ads remind me of one of the continuing failures of my adult life.,808953,@312758 Hi! Thanks for the feedback. We'll be sure pass it on to the team. Let us know if you need anything else /NY
1941626,@SpotifyCares I have Spotify Student and I activated Hulu a few weeks ago. It was working before but now it’s not letting me on pls help,1941625,"@577398 Hey Brooke! Don't worry, we can look into this. Can you let us know your account's username or email address? /AP https://t.co/ldFdZRiNAt"
1841065,@115888 why do ads on Playstation 4 play 2-4 times before i can hear my music? 🎶,1841064,"@551740 Hey! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /NS"
2691957,@SpotifyCares Yooo!!! You rock 🤘 https://t.co/KrNfhqGQWw,2691959,@382883 Thanks. We’re working on it at the moment. We're always trying to improve Spotify. Stay tuned /BE
2435831,"@SpotifyCares Sure, it’s the 6S with iOS 11.0.3. It just started happening with the most recent app update.",2435833,@698868 Got it. Can you try to see if logging out &gt; restarting your phone &gt; logging back in to your account does the trick? /DV
1242368,@SpotifyCares I’ll give that a try and let you know,1242369,@116385 Sounds good! Keep us in the loop /MQ
2929221,@SpotifyCares also the lyrics function coming back,2929220,"@810346 Hey! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see. As for the lyrics, we hear you. Any updates will be posted at https://t.co/uyKzeW1er0. We'd recommend voting to support the idea, too /NQ"
371581,@SpotifyCares I never saw the message I received in my dm and now I cannot forward on my issue. Can I reopen my case,371582,@204009 We've sent you a DM. We'll carry on chatting there /LO
539189,@SpotifyCares Tried that. The problem persists. I also tried deleting app and reinstalling the app. I am using the most recent version. 8.4.28.1104. Thank you for your help.,539191,"@245025 Thanks. Just to check, is this happening only when on WiFi, 3G/4G, or both? Can you let us know the exact model of your device? /AU"
1934609,@115888 can you add a feature where people on my Wifi can add to the queue on my wireless speakers? That’d be super smash,1934608,"@575627 Hi, we can see how that’d be useful! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /AK"
77685,"@SpotifyCares Trying to log into Spotify app via Facebook app on iPhone 6s, but get Facebook message ""Login Error: There is an error logging you into this application. Please try again later.""",77684,"@133314 Hey Daniel, the cavalry's here! Can you DM us your account's email address? We'll take a look under the hood /LS https://t.co/ldFdZRiNAt"
1916604,You family premium doesn't work. My family couldn't log in @SpotifyCares,1916603,@570869 Hi Andy! Could you send us a DM with your account's email address or username? We'll take a look backstage /DR https://t.co/ldFdZRiNAt
2638586,@SpotifyCares Hi there. Having some difficulties logging into Spotify via Facebook.,2638584,"@744669 Hey Candice, help's here! Could you send us your account's email address and a link to your Facebook profile? We'll take a look backstage /VK"
1855971,"@SpotifyCares Hey, a song of mine was recently released on a label and it created a duplicate artist page. How can I get it on my main?",1855970,@555149 Hey there! We’d recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up 🙂 /MA
1868055,"@115888 - it doesn't appear you guys have an #ExplicitContent filter?  WTHeck?  Even Zune had that, and it guards the galaxy!",1868053,"@558029 Hi! We're afraid this isn't currently available, but we'll be sure to note your feedback. If you need anything else, give us a shout /WW"
2912567,@SpotifyCares so I forgot my email and password for my premium account and I want to cancel what do I do?,2912566,"@806265 Hey Benjamin! Don't worry, we'll help out. We'd like to share more info with you. Can you send us a DM instead? /DQ https://t.co/ldFdZRiNAt"
969361,@SpotifyCares I have an htc one m9 android,969363,@350089 Did this issue start happening after any specific updates? Can you try logging out and logging back in to refresh the app? /NJ
1295642,@SpotifyCares  https://t.co/RBgYaU9b97,1295641,"@378822 Does this happen even when using another web browser? Also, can you try logging in to another device? Keep us posted /SJ"
2165524,@115888 I can‘t sync local files from my Mac to my iPhone. I see the playlist on the phone but there are no songs in it. Hence I can‘t download them whilst in the same WiFi.,2165523,"@635604 Hey Steffen, help's here. Can you fire over your account's email address or username via DM? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt"
1299580,@SpotifyCares Thank you. We are waiting,1299579,"@423742 No worries! If you ever need anything else, feel free to give us a shout /TF"
1643556,"@SpotifyCares hello spotify if you could please help me with this that would be great, i really need to listen to jessica simpson",1643555,"@502317 Hey Nathan, help's here! Can you DM us your account's email address? We'll take a closer look /BE https://t.co/ldFdZRiNAt"
1984002,So now @115888 making us put our credit card info for free 30 day premium account,1984001,@587268 Hey there! We'll need a valid payment method to begin the 30-day trial. There's more info about it here: https://t.co/Nvf3UAFInq /KB
2899864,@SpotifyCares Only been waiting 5 years!!!,2899866,"@129061 We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks. In the meantime, let us know if you need help with anything else /GU"
1767681,@SpotifyCares Been on it for 2 years ...,1767683,"@531509 We understand. Don't worry, we'll let the right team know it's something you're looking forward to /AN"
2027952,"@115888 
I have an account and I need to change my billing information for it , cannot get it to work online. need help????",2027951,"@599694 Hey Vanessa, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TY https://t.co/ldFdZRiNAt"
793407,@181186 my account was hacked and songs deleted. can you reset my account to a time before 3 days ago when the a-hole struck?,793406,"@309176 Hey Nat, we're sorry to hear that. This is something for our Accounts team. You can reach them at https://t.co/ZgU70TbP8M /RK"
1940029,"@SpotifyCares people have been asking for this for over 5 years https://t.co/CvZo88bqob and it was updated 2 years ago with a 'not right now' so, back to @115948!",1940027,"@206716 We understand where you're coming from. Rest assured, we'll pass your feedback onto the team. If there's anything else, let us know /DV"
2284055,"What is this “Stranger Things Mode, @115888? My curiosity is peaked. 😳 https://t.co/0Y6vaiF0Wk",2284054,@663753 Hi Quin. The Stranger Things Mode is an easter egg feature that adds some animation to your app. Hope you like it! /DR
1495326,"@118266 min, kalau beli premium student cuma bisa pake cc aja ? Gak bisa via indomaret dll ?",1495325,"@467192 Hey Wira! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /AY"
2574095,"@115888 I have Spotify premium and I have registered two devices with it, as I am permitted to do, but all too often playback on either device, playback is frozen and I am told ""your account is being used on another device"", and it's not! So annoying. So frustrating. #Help",2574094,"@729965 Hey there! No worries, we can help. Could you DM us your account's username or email address? We'll take a look backstage /GU https://t.co/ldFdZRiNAt"
1588418,@SpotifyCares Please we need this!! Is it even it the works??,1588417,@488504 We hear you 🎧 Rest assured your feedback will be passed on to the right folks /DF
327154,"@SpotifyCares whenever I play music on Spotify, it doesn’t come up on the control Centre on my phone so can’t change songs when out the app?",327153,@193970 Hey there! We've just sent you a bit more info over DM. Let's carry on chatting there 🙂 /TB
1038282,@115888 @SpotifyCares Paid Spotify customer since day 1 in Australia 😡,1246495,"@365624 We understand. Don't worry, We'll let the right team know it's something you'd like to see /NS"
585117,@SpotifyCares Sent invite to my daughter for Spotify Family but it won't accept her. Same address. How can I get assistance?,585116,@258107 Hey! Can you fire over your and your daughter's usernames or email addresses? We'll see what's happening backstage /RC
1000261,"Dear @115888 , can you please take your money and let me listen to my music please 😭😭😭",1000260,@356812 Hey there! We've just sent a DM your way. Let's carry on chatting there /PB
1855088,"@117153 How come I'm paying for a Premium account but my subscription type is still on ""free""?",1855087,@554969 Hi! Help's here. Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt
215431,@115888 Pre-made playlists that have horrible songs on them but really good songs too ya know?,215430,@167191 Hey! We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks /RH
1113678,@SpotifyCares Plenty of notes with you from several conversations. Search under davobob,1113677,@382841 We're afraid we can't access your previous conversations with us. Can you refresh our memory over DM? /DR https://t.co/ldFdZRiNAt
1573300,Hé @115888 I need my @131175 vitamins.. what's up?,1573299,@484947 Hey there! What's happening exactly when you're trying to play Bruno Mars tracks? We'll help out /AR
1909883,@SpotifyCares can someone help me add family members to our family plan? Sent the invite and still not working.,1909882,"@407739 Hi, help's here! Could you DM us your username, email, &amp; the usernames &amp; emails for the members you're trying to invite? Keep us posted /JQ https://t.co/ldFdZRiNAt"
2334629,Hello suddenly I’m getting charged $10 rather than the student discount on spotify ???? Help I’m so broke I need this fixed can I do anythin,2334628,@675598 Hi there! We've just sent a DM your way. Let's carry on chatting there /FR
2480263,@SpotifyCares You guys took payment the other day but it’s not registering with my account😞,2480262,@708778 Hey! We've sent a DM your way. We'll carry on helping you there /SJ
832543,Spotify this is not a good moment tf https://t.co/7rBItpqgTS,832542,@318292 Hi there! Can you let us know what's happening exactly? We'll see what we can suggest /AK
2730544,Hey @115888 could you maybe stop deleting all my downloaded songs in random intervals? Much appreciated,2730543,@765521 Hey Lukas! Could you DM us your account's email address? We'll take a look backstage and see what we can suggest /L https://t.co/ldFdZRiNAt
2864084,@115888 sorry maar ben alsnog te skeer hiervoor,2864082,"@795558 Hey there! We can help out in English via Twitter, but we also have Dutch support via email at https://t.co/ZgU70TbP8M 🙂 /JI"
497751,"@SpotifyCares Can y'all add the new ""Like/Don't Recommend"" feature to the Release Radar playlist? I regularly get recommendations for artists I listened to one time years ago.",497749,"@233798 Hey Ian! We can see how this would be useful. You can vote for the official idea here: https://t.co/soVqZrcAW6. If you ever need anything else, just shout and we'll come running 🏃 /JX"
1899438,@115888 fix your piece of shit app. I can't even play music without it stopping after every song.,1899437,"@566090 Hey there, that doesn't sound cool. Could you DM us with your account's username and email address? We'll take a look backstage /TB"
677108,"Good graphic design, @SpotifyCares. How long is 3 nonths? https://t.co/twBRGbmMCi",677107,"@281541 Hey Isabelle! Thanks for the heads-up. Don't worry, we'll pass your feedback on to the right folks. Let us know if there's anything else we can help with /KB"
1870176,@SpotifyCares I signed up for student premium but I'm still receiving ads. Any help?,1870175,"@558551 Hey there, help's here! Could you DM us your account's username and email address? We'll take a look under the hood 🔍 /DQ https://t.co/ldFdZRiNAt"
2518423,"@115888
Please HELP! I have tried several times to add my husband on as a family member and every time it says invalid code. It's been over 3 wks and I'm extremely frustrated, why is it so difficult? Pls look into my acct and advise and not with the same steps on the website!",2518422,"@717374 Hi Kathy, help's here! Can you send us a DM with your account's email address or username? We'll check it out backstage /VK https://t.co/ldFdZRiNAt"
1742939,@SpotifyCares this did not work,1742940,@525732 Hmm. Could you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt
189849,@115888 How do you access Hulu if you already have premium?,789471,@308270 Hi there! Can you DM us your account's email address or username? We'll see what we can suggest /NQ https://t.co/ldFdZRiNAt
890302,"@SpotifyCares https://t.co/3FZ51kaRIU

https://t.co/W7yhGx3AMP",890301,"@331365 Thanks! This time, could you give us the URIs of the albums that should belong to a different artist of the same name? /JU"
2956317,@SpotifyCares please fix your website. We purchased family premium and now can't even use it until you get this fixed. #ridiculous,2956316,@816044 Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /JM
543126,@SpotifyCares i have all my songs downloaded so it happens only with them,543127,"@144687 Alright. Can you try reinstalling your app with the steps here: https://t.co/PDA2aKzC6Q? Afterwards, just redownload your tracks for offline. Let us know how it plays out /LM"
1031554,@SpotifyCares I have the student Spotify and the Hulu best plan right now is there a way to connect them,1031553,@364087 Hi Jack! Can you DM us your account's username or email address? We'll take a look backstage /MC https://t.co/ldFdZRiNAt
2198223,@SpotifyCares I've had my premium account hacked and have been contacted by someone with the email address: __email__' asking for a copy of my earliest Spotify email receipt or a bank statement. Is this legit?,2198222,@642988 Hey Mike! We can confirm that email came from us. They'll be the best folks to help out 🙂 /CG
2910928,@SpotifyCares so close to cancelling my premium as the app never wants to load with wifi🙄🙄🙄🙄,2910927,"@805844 Hey, help's here! We're sorry to hear that your app isn't working on Wi-Fi. Could you DM us your username and email address? We'll take a closer look /JQ https://t.co/ldFdZRiNAt"
1936349,"@SpotifyCares I contacted support about an issue w/ my library. The tech said he would ""investigate"", and just cancels my spotify account?",1936348,@576091 Hey there! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt
2043205,I would just like to thank @115888 for it's atrocious app for  screwing up and telling me both of my emails were taken. What garbage.,2043204,@604212 Hey Marcus! That doesn't sound good. Can you DM us the email addresses you're trying to use? We'll take a look under the hood /QI https://t.co/ldFdZRiNAt
2211066,Getting rid of @115888 just because of the annoying Waze feature,2211065,@646268 Hey Caitlin! We're here to help. Can you let us know what device and version of Spotify you're using? We'll see what we can suggest /AN
2344108,Yo @115888 hmu with that three months for $0.99,2344106,"@677919 Hi! The Intro Offer isn't available right now. Don't worry, you can check out other offers at https://t.co/WcBQzucFjB. Hope this helps /XF"
2052048,"@SpotifyCares Thank you so much, while that I will hear the other musics available in your awesome service",2052049,"@606867 No worries and thanks for the kind words! If you ever need us with anything else, know that we're always... https://t.co/zOXI69QSqg 🙂 /AR"
368879,@SpotifyCares Nope. There's no Clear button on the desktop app.,368880,@203398 We've replied to your DM. Check it out and we'll continue over there /RC
1974576,"@SpotifyCares Here’s the right artist page:  https://t.co/I95jYaJEQI 

Here’s the EP that’s not appearing on my artist page:
 https://t.co/FBYhdoftHY",1974578,"@584752 Thanks. We'll get this reported. Hopefully this'll be sorted soon. In the meantime, give us a shout if we can help with anything else /MC"
1906054,"@SpotifyCares hi, I paid for my premium account yesterday, but it still says spotify is offline at the moment.",1906052,@567961 Hi! We've just replied to your DM. We'll carry on helping there /MQ
83685,"@SpotifyCares I just noticed this, you guys are funny. I love it! Haha.",83687,"@134390 Aww, thanks for the kind words! You're making us blush. Have a nice day 😍 /JS"
211040,@SpotifyCares It’s Wednesday pal. Not on it tonight,211042,@165991 With Spotify it's always a party 😉. Keep rocking /ND
1869506,"First youtube sharing links dont work on facebook, now spotify wont log me in. @126972 @188 @115888 How am I supposed to shear #Sweet",1869505,"@282968 Hey Matthew! Are you getting any specific error messages when you're trying to log in? If so, a screenshot of it would help /AR"
1173241,"@SpotifyCares I followed your help page about changing countries, I updated my payment method to a UK one but account still shows NL.",1173240,"@395953 Hey Stephen, help's here! Can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZR1cbT"
2251418,Hey @115888 you really need to fix your app so its compatible with the iPhone X’s screen dimensions. Right now the UI is pretty broken.,2251417,@655877 Hi Larry. We understand - we’re working on it as we speak. Stay tuned! /QI
2632604,@SpotifyCares When is reputation coming out on Spotify L,2632603,@743341 Hey! We've just replied to your DM. Let's continue chatting there /GT
1476017,Why is this not on spotify !! @115888 what the fuck https://t.co/JjDRqi2iU0,1476016,"@462667 Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /LO"
540365,"@SpotifyCares hi guys, I just d/l Spotify for my Mac, keep getting error 410 and can’t get out of offline mode. Help!",540364,@245361 Hey Jess! That's not cool. Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt
2795620,@spotifycares I have been charged my student discount amount but I still don't have premium?,2795619,"@780115 Hey Teresa, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZR1cbT"
1337474,@SpotifyCares Yes! Also unable to use my car to change songs while through Bluetooth or the usb.,1337475,"@211474 Could you try logging out, restarting your device, and logging back in? Does that make a difference? /JM"
2095636,"Hey @115888 why can't I play any songs from @2328 ? My Tuesday just isn't the same without ""Feeling Good""",2095635,"@619113 Hi there! Is the issue happening on all of his tracks? Also, can you DM us your account's username or email address? /JM https://t.co/ldFdZRiNAt"
1569794,@SpotifyCares @484170 @13383 @64290 @64291 @64292 Will do! Thank you! All for you @412979 🤣😘,1569793,@484169 You're welcome! Just let us know if we can help with anything else. Have a... https://t.co/cPbDPiAv92 /CO
2114162,"@SpotifyCares Since iOS 11 came out, Spotify stops shuffling when connected to many bluetooth devices (especially cars). iOS 11 has been out for months and still not resolved. Not acceptable. Please get on this as it's a huge inconvenience when driving.",2114160,"@623325 Hey there! That's not cool. Does logging out, restarting your device, and logging back into Spotify help? Keep us posted /JI"
2051672,"@SpotifyCares didn't realise my student Spotify had ran out because it was deleted from my calender somehow, do I cancel my sub then redo?",2051670,@606748 Hi Lauren! Could you send us your account's username or email address via DM? We'll take a look under the hood /LP https://t.co/ldFdZRiNAt
1995435,.@SpotifyCares Are you still trying to add AirPlay to Spotify clients on Windows / Linux ? It's been 5 years now https://t.co/BgcxHTyIgy https://t.co/zyfCJKLXk2,1995434,"@583435 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see soon. Stay tuned /AC"
391831,@SpotifyCares No error message; the app simply closes. I tried restarting my device but it still has the glitch.,391833,@208777 We hear you. Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this /TF
2251370,"@SpotifyCares Are the “Daily Mix” playlists supposed to change literally daily? Because whenever I click on them, the songs are almost always the same songs in the same order.",2251369,@655864 2: particular mix shuffles a fresh batch of tunes each day. Keep listening to what you love; tapping ❤️/🚫 should also improve your mix /LP
158944,"Selamat malam @118266, saya mengalami kendala di pemutar web saya yg tdk bs pause dan play lagu baru (spt di foto) dan sudah saya coba berbagai cara tp ttp tdk bisa diperbaiki kenapa ya? Bagaimana memperbaikinya? Terima kasih. https://t.co/Aixjo073mn",158943,"@152541 Hi Elmi! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /NH"
110062,@115888 hi im just wondering how I can cancel 1 of 2 subscription to your selfs ...,110061,"@140437 Hey Jon, help's here! Can you DM us both of your accounts' usernames and email addresses? We'll see what we can suggest /TR https://t.co/ldFdZRiNAt"
516751,@115888 WHY IS ALL MY MUSIC GONE,516750,"@239114 Hey Lorena! Don't worry, we'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt"
2789421,"@115888 can't sign up, keep getting error. Need to access the web API for some urgent work. Please help!",2789420,"@778601 Hi there! Could you DM us the email address you're using to sign up? A screenshot of any error messages, along with the country you're currently in, would also help. We'll check backstage /LP https://t.co/ldFdZRiNAt"
142185,@115888 Can I get this deal when I have a premium account already?,2909816,"@805584 Hey! Right now, this offer's for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂 /VV"
