tweet_id,text,true_label,predicted_intent,top_similarity,decision,reason
2875312,"@115888
Hello, just paid for premium and am not getting the service",Premium & Subscription,Premium & Subscription,0.846,ESCALATE,Risk category: 'Premium & Subscription' always requires human review (money/account access involved)
890181,@SpotifyCares why has The Game - Blood Moon: Year Of The Wolf album been removed? And any chance we can get Kano - 140 Grime St added? Thanks 😁,Content Availability,Content Availability,0.602,ESCALATE,"Low retrieval confidence (0.60 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2924066,@SpotifyCares Any promotions for someone who wants to sign up to Premium?,Premium & Subscription,How-to / General Question,0.825,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.83 similarity)
875176,@SpotifyCares Fyi - The iOS version of Spotify doesn't seem to have this issue.,Noise / Unclassifiable,Noise / Unclassifiable,0.907,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.91 similarity)
2720681,@SpotifyCares @SpotifyCares took care of my very lengthy issue. Very professional and nice to see someone actually believes in great customer service! 😀😀😀,Noise / Unclassifiable,Noise / Unclassifiable,0.894,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.89 similarity)
2580735,@115888 guys when will I be able to stream directly to my Apple Watch 3 LTE?,Feature Request / Feedback,How-to / General Question,0.683,ESCALATE,"Low retrieval confidence (0.68 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1801863,Hey @115888  why isn't the DVSN record available for streaming in Norway? Only four of thirteen tracks available 😓,Content Availability,Content Availability,0.586,ESCALATE,"Low retrieval confidence (0.59 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1280109,@SpotifyCares Do something we're not taking it this time around,Noise / Unclassifiable,Noise / Unclassifiable,0.85,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.85 similarity)
1780430,"@SpotifyCares I’d love it if when you click on artists, it would just show the artists you follow. not everyone you’ve saved a song from.",Feature Request / Feedback,Feature Request / Feedback,0.759,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.76 similarity)
1901787,@115888 @SpotifyCares,Noise / Unclassifiable,Noise / Unclassifiable,1.0,AUTO_HANDLE,Non-risk intent + strong historical grounding (1.00 similarity)
2216032,Can we all just stop what we’re doing and ask why is @5413’s Metamorphosis not on @115888?,Content Availability,Content Availability,0.504,ESCALATE,"Low retrieval confidence (0.50 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2549590,Please fix your @13281 integration on @117014 4 though ok please @SpotifyCares  cheers.,App & Technical Issues,App & Technical Issues,0.834,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.83 similarity)
1865415,"@SpotifyCares a lot of Iraqi people want to use Spotify but it's not supported, is there Chance that be supported in Iraq ?",Content Availability,Content Availability,0.657,ESCALATE,"Low retrieval confidence (0.66 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1101305,@115888 wanna accept my request so my music can be on there too.,Feature Request / Feedback,Feature Request / Feedback,0.795,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
2583355,@SpotifyCares Thank you Spotify I know you care I always trusted you. You’re like an Aunty to me. Never leave me. Im bouTTA START THROWING HANGS AT BigSHIT THO WASSGUD https://t.co/18kX1gpAIS,Noise / Unclassifiable,Noise / Unclassifiable,0.742,ESCALATE,"Low retrieval confidence (0.74 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
46654,"@126370 @115888 That's a relief, I always smash the skip button 👌",Noise / Unclassifiable,Noise / Unclassifiable,0.651,ESCALATE,"Low retrieval confidence (0.65 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2862749,"@SpotifyCares my computer isn’t working and I’m trying to update my credit card info before it’s billed again, is there a way of doing that in the phone app? Ps personally i would prefer telephone support but maybe that’s just me 🤷🏼‍♀️",Billing & Payment,Billing & Payment,0.669,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
783585,@SpotifyCares hey guys do you kindly wanna offer me a deal for a first time subscription buyer? #cheeky #tryingmyluck,Premium & Subscription,Feature Request / Feedback,0.759,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.76 similarity)
850029,"@SpotifyCares Force closing Spotify temporarily fixes the issue, but then it will do it again quickly within the next session.",App & Technical Issues,App & Technical Issues,0.898,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.90 similarity)
1827261,"@SpotifyCares that's not an answer. Why can't I change my address for a family account? Why do you have this rigid, brittle system?",Premium & Subscription,Account & Login,0.786,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
2769146,"@127637 Bonjour, sous combien de temps puis je espérer avoir une réponse après avoir fait une requête pour distribuer un podcast sur Spotify ? Merci :)",How-to / General Question,How-to / General Question,0.683,ESCALATE,"Low retrieval confidence (0.68 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2916609,"Spotify is DOWN omgggg, what am I gonna do

@115948 are you there???",App & Technical Issues,App & Technical Issues,0.823,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.82 similarity)
1026515,@SpotifyCares (sorry this took so long) i have version 1.0.65.320.gac7a8e02 running on OS High Sierra,Noise / Unclassifiable,Noise / Unclassifiable,0.851,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.85 similarity)
1786256,"@SpotifyCares Hello, I believe a fraudulent charge was made on my Spotify acct.  Please let me know who I can talk to at Spotify about this",Billing & Payment,Billing & Payment,0.803,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
2699557,"@SpotifyCares Hi,I was trying to activate the premium pack for 0.99€ and I got charged 5 times.",Billing & Payment,Billing & Payment,0.81,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
2061017,@SpotifyCares Are you ever going to do an Apple Watch app? Where you can download playlists etc.? It’s in demand!!!!,Feature Request / Feedback,Feature Request / Feedback,0.843,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.84 similarity)
2203761,@115888 Will #reputation be available on Spotify with its release?,Content Availability,Content Availability,0.879,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.88 similarity)
1964580,@SpotifyCares And Oblivion was actually playing btw,Noise / Unclassifiable,Noise / Unclassifiable,0.689,ESCALATE,"Low retrieval confidence (0.69 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2807545,@SpotifyCares  https://t.co/ohqkkkiYkr,Noise / Unclassifiable,Noise / Unclassifiable,0.964,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.96 similarity)
190098,"@SpotifyCares nuuuuuuh 🐻😭
alrighties and thank you for the help!",Noise / Unclassifiable,Noise / Unclassifiable,0.936,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.94 similarity)
145916,@115888 You can only avail the ₱9 for 3 months if you use a credit card 😞,Noise / Unclassifiable,Premium & Subscription,0.819,ESCALATE,Risk category: 'Premium & Subscription' always requires human review (money/account access involved)
2301129,"Wait
That’s like a bit far away from 
„Recently“ for me to be honest …
Maybe a newer update from you? @SpotifyCares https://t.co/erHahGcrPF",Noise / Unclassifiable,Noise / Unclassifiable,0.758,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.76 similarity)
2721860,@115888 @115888 having problems with updating of most listened artists on profiles? Mine has been the same for months,App & Technical Issues,Feature Request / Feedback,0.709,ESCALATE,"Low retrieval confidence (0.71 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1338269,@SpotifyCares where's the new @425725 album at?,Content Availability,Content Availability,0.805,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
2289898,"@SpotifyCares Outsource it or something then
My people need music
Better managed and legal
Hurry up please",Noise / Unclassifiable,Noise / Unclassifiable,0.73,ESCALATE,"Low retrieval confidence (0.73 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
44237,@SpotifyCares why can't i use my mobile account to pay for my premium all of a sudden when i have for the last 6 months?? Ee have said there ia no problem thier end?,Billing & Payment,Billing & Payment,0.797,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
1150646,"@SpotifyCares ""epic collection friend. your library is all filled up..."" Are you kidding me?",Noise / Unclassifiable,Playlist & Library,0.696,ESCALATE,"Low retrieval confidence (0.70 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2058723,@SpotifyCares Quick question: Is there a place where I can see the new music from all artists I follow without having to check them each?,Feature Request / Feedback,How-to / General Question,0.795,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
557243,"@115888 asks me to buy this type of subscription, but forgets to add a “buy” or “subscribe” button. I wonder how much they could have earned if they did add the button 🤔 https://t.co/LNoTZWrSEp",App & Technical Issues,Feature Request / Feedback,0.641,ESCALATE,"Low retrieval confidence (0.64 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
303545,@SpotifyCares @AppleSupport iPhone is showing wrong song when phone is locked and playing music on Spotify. Phone or Spotify issue?,Playback & Audio,Playback & Audio,0.813,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.81 similarity)
1051998,"@SpotifyCares I am getting a message that my payment information failed, but I signed up for the family plan with my wife and my account...",Billing & Payment,Billing & Payment,0.818,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
2919332,@117153 hello. what's going on? #FirstWorldProblems,Noise / Unclassifiable,Noise / Unclassifiable,0.662,ESCALATE,"Low retrieval confidence (0.66 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1899649,@115888 There should be a hashtag trending which requests and in a way forces you to bring Spotify to India. #bringSpotifytoIndia :),Content Availability,Feature Request / Feedback,0.806,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.81 similarity)
2758315,Has @115833 multiroom audio come to  @SpotifyCares yet?,Feature Request / Feedback,Feature Request / Feedback,0.683,ESCALATE,"Low retrieval confidence (0.68 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
649944,Partnership: @115888 and @115940 should up their relationship with a $15 #AdFree Family Plan in addition to their popular $5 Student Plan. #SaveSomeGreen https://t.co/AZnE6BVZ1J https://t.co/h8ac4gCwgk,Feature Request / Feedback,Noise / Unclassifiable,0.562,ESCALATE,"Low retrieval confidence (0.56 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2552634,"wait, why is take care off of @115888 !?",Content Availability,Noise / Unclassifiable,0.785,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.79 similarity)
2246183,"@SpotifyCares Yeah the playlists stayed downloaded, and I’ve re downloaded some of my albums, cheers",Noise / Unclassifiable,Noise / Unclassifiable,0.846,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.85 similarity)
1644809,@115888 It’s also gone from the control center - it’s prob something simple but google has me confused...I don’t like technology #IPhone #Spotify,App & Technical Issues,App & Technical Issues,0.791,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.79 similarity)
548698,I.CANT.REGISTER!!! 😭 @SpotifyCares https://t.co/6mdOBPMhBJ,Account & Login,Account & Login,0.803,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
2164240,@115888 Premium subscribers should get a deal once in awhile.,Feature Request / Feedback,Feature Request / Feedback,0.794,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.79 similarity)
2225647,Wait is #reputation not on @116130?,Content Availability,Content Availability,0.772,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.77 similarity)
2371460,@115888 My uncle is trying to cancel his account and can't remember the email or username he used. Is there a way around that?,Account & Login,Account & Login,0.65,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
2572208,"Why is Take Care not on @115888 anymore?
Does this have to do with Apple Music? This has gone too far. When will the rivalry stop",Content Availability,Content Availability,0.624,ESCALATE,"Low retrieval confidence (0.62 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
720782,"Hey @115888 @SpotifyCares can you spot the #dissonance?
#actuallynotforeveryone https://t.co/8vqdivZGqL",Noise / Unclassifiable,Noise / Unclassifiable,0.716,ESCALATE,"Low retrieval confidence (0.72 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2912555,@SpotifyCares @115888 why isn’t my premium working please and thank you,Premium & Subscription,Premium & Subscription,0.892,ESCALATE,Risk category: 'Premium & Subscription' always requires human review (money/account access involved)
726812,@SpotifyCares  https://t.co/9cuT63nyCx,Noise / Unclassifiable,Noise / Unclassifiable,0.981,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.98 similarity)
2817,"@115888 Why am i being charged of 129.00 pesos for premium. It says, 3 months for 9.00 pesos only? @SpotifyCares I haven't tried premium before, it's my first time to upgrade premium😠😳",Billing & Payment,Billing & Payment,0.798,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
2059393,is @115888 for iOS devices only ?,How-to / General Question,How-to / General Question,0.703,ESCALATE,"Low retrieval confidence (0.70 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1029049,@115888 @2069 When the app will be available to LG SmarTV webOS 3??,Feature Request / Feedback,EMPTY_RESPONSE,0.617,ESCALATE,"Low retrieval confidence (0.62 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1872131,@SpotifyCares y’alls system for management is crap I got charged for our family plan I expect my family to be able to listen. Fix ur system,Premium & Subscription,Billing & Payment,0.787,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
2118791,My @115888 is full? Is that a thing? Now what?!?! https://t.co/qzdskrapc8,How-to / General Question,Noise / Unclassifiable,0.681,ESCALATE,"Low retrieval confidence (0.68 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2023805,Okayyyy but where’s hello? Aka my favorite song? @115888 @SpotifyCares https://t.co/UHT4gVI0Uz,Content Availability,Content Availability,0.703,ESCALATE,"Low retrieval confidence (0.70 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2215915,"@SpotifyCares Imported my music from Groove, Successful on Windows 10 and phone. not successful on Xbox1. Tried to import directly on that platform without success. Uninstalled and reinstalled app without success. Please advise. I want to go premium, but Xbox is primary platform.",App & Technical Issues,App & Technical Issues,0.646,ESCALATE,"Low retrieval confidence (0.65 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
284092,@117153 I've paid for the premium account but it's still not working can I know why pls?,Premium & Subscription,Premium & Subscription,0.875,ESCALATE,Risk category: 'Premium & Subscription' always requires human review (money/account access involved)
2507895,"@SpotifyCares  I have  premium account and log in via Facebook.   I get the message someone else is using my spotify, when I am on Sonos.",Account & Login,Account & Login,0.762,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
2481560,@SpotifyCares I'm being over charged on my premium subscription --A regular account rather than a student like I've been paying for months,Billing & Payment,Billing & Payment,0.889,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
966374,@115888 hey guys. You've charged me twice this month. Same amount. Maybe I'm being stupid but I don't know why. Pls help.,Billing & Payment,Billing & Payment,0.834,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
314544,"@SpotifyCares the spot on alarm doesn't work at all, idk if it's bc it hasn't been released but it's not working",App & Technical Issues,Playback & Audio,0.735,ESCALATE,"Low retrieval confidence (0.74 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2857489,@SpotifyCares Still waiting!,Noise / Unclassifiable,Noise / Unclassifiable,0.947,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.95 similarity)
1283287,@SpotifyCares Okay thank you,Noise / Unclassifiable,Noise / Unclassifiable,0.996,AUTO_HANDLE,Non-risk intent + strong historical grounding (1.00 similarity)
652857,@SpotifyCares Thank you!!,Noise / Unclassifiable,Noise / Unclassifiable,0.988,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.99 similarity)
2984774,@115888 would make hella bank if they had a sleep timer function,Feature Request / Feedback,Feature Request / Feedback,0.684,ESCALATE,"Low retrieval confidence (0.68 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1874716,"@SpotifyCares Hi, I was charged £9.99 for this months subscription, even though I've got a student account? I want to be refunded!",Billing & Payment,Billing & Payment,0.908,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
1188280,"If y’all do nothing else @115888, find a way to get this on there. https://t.co/VDsbbPQDgN",Noise / Unclassifiable,Feature Request / Feedback,0.744,ESCALATE,"Low retrieval confidence (0.74 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1698000,@SpotifyCares I did that and also uninstalled Spotify and reinstalled and ensured the storage setting was set to the SD card before downloading my playlists. Same issue.,App & Technical Issues,App & Technical Issues,0.8,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
654548,@SpotifyCares I finally figured it out lol! Sorry!,Noise / Unclassifiable,Noise / Unclassifiable,0.897,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.90 similarity)
1254522,I'm so annoyed that Spotify doesn't have a customer service line,Feature Request / Feedback,Noise / Unclassifiable,0.76,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.76 similarity)
189898,@115888 Can anyone other than students get some love? Woulda been a nice deal to get when I was in school,Feature Request / Feedback,Feature Request / Feedback,0.674,ESCALATE,"Low retrieval confidence (0.67 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1997120,@SpotifyCares - I've tried 3x to email support to cancel my daughter's acct. My Credit Card is still being charged after I told u to cancel,Billing & Payment,Billing & Payment,0.783,ESCALATE,Risk category: 'Billing & Payment' always requires human review (money/account access involved)
1836259,@SpotifyCares It’s really odd because then my app will start working normal again. Is there a way that this can be fixed. Thank you! 🤓,App & Technical Issues,App & Technical Issues,0.868,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.87 similarity)
2716524,"@SpotifyCares It's a Win7 PC, version is 1.0.67.582.g19436fa3",Noise / Unclassifiable,Noise / Unclassifiable,0.842,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.84 similarity)
2734623,"Help @SpotifyCares yesterday all my music showed on my account, today it's all gone, over 30gb worth wiped from the phone. no artists no album saved what's happened?",App & Technical Issues,Playlist & Library,0.861,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.86 similarity)
1344859,Kpop section on @SpotifyCares is really lacking :( https://t.co/vM7dBziI2b,Content Availability,Content Availability,0.745,ESCALATE,"Low retrieval confidence (0.74 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
659576,@SpotifyCares I love you 😂 yeah we can,Noise / Unclassifiable,Noise / Unclassifiable,0.844,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.84 similarity)
388129,@12754 Family invites to my daughters mail (gmail) does not get through. Please advice on what to do,Premium & Subscription,EMPTY_RESPONSE,0.624,ESCALATE,"Low retrieval confidence (0.62 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1837741,@SpotifyCares I’ve removed and re-added. Nothing. Old downloads are fine!,App & Technical Issues,App & Technical Issues,0.811,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.81 similarity)
2912539,@SpotifyCares hey guys I can access music I’ve downloaded but can’t search? https://t.co/upL4dHpIk2,App & Technical Issues,App & Technical Issues,0.849,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.85 similarity)
2896729,".@115888 @117168 @SpotifyCares Is it possible to add a tile on home screen for new releases from artists I follow? Just looked through new releases, nothing by my fave artists, have to go artists page to find new release. Would be nice to have in 1 place. Thanks 😊",Feature Request / Feedback,Feature Request / Feedback,0.638,ESCALATE,"Low retrieval confidence (0.64 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
575121,"@SpotifyCares When I go to Programs and click “Uninstall,” it shows me the same message as when I try to open Spotify. That it’s missing ‘api-ms-win-core-processthreads-|1-1-1.dll’",App & Technical Issues,App & Technical Issues,0.856,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.86 similarity)
1983324,why didn't we get harry singing just a little bit of your heart on @115888,Content Availability,Content Availability,0.537,ESCALATE,"Low retrieval confidence (0.54 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2582054,@115888 put Lil peeps hellboy back on Spotify,Content Availability,Content Availability,0.802,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
2853025,"@SpotifyCares Thanks I’ll have a play with it. Must admit though, I’ve just adjusted music quality and can’t tell difference between normal and extreme",Noise / Unclassifiable,Playback & Audio,0.635,ESCALATE,"Low retrieval confidence (0.63 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2780785,@115888 hi. Spotify premium keeps telling me I'm offline even when I'm logged into Wi-Fi. Is there an issue at the moment?,App & Technical Issues,Playback & Audio,0.742,ESCALATE,"Low retrieval confidence (0.74 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1705028,@SpotifyCares I've just got some Google Chromecast speakers. How do I remove my old Spotify Connect speaker? https://t.co/dUFySGOoGw,How-to / General Question,How-to / General Question,0.638,ESCALATE,"Low retrieval confidence (0.64 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1905336,Any chance the @1922 family of podcasts will be on @115888 any time soon? Currently I’m only seeing Weekend. #please,Content Availability,Content Availability,0.686,ESCALATE,"Low retrieval confidence (0.69 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
1936648,@SpotifyCares https://t.co/cL4mANIu5Q and UK,Noise / Unclassifiable,Noise / Unclassifiable,0.932,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.93 similarity)
2165577,เมื่อผมกดหน้า Contact Customer Support ของ Spotify...#OMG #ffffffffff https://t.co/oNMqCTQD33,Noise / Unclassifiable,Noise / Unclassifiable,0.871,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.87 similarity)
699533,@SpotifyCares how the fuck is possible that i see track lists adoring Charles Manson? i cannot even disable them. This is super disgusting,Content Availability,Content Availability,0.662,ESCALATE,"Low retrieval confidence (0.66 < 0.75) - no strongly similar historical case found, risk of ungrounded reply"
2141740,"@SpotifyCares Hello, I have a problem with my mail not changing according to my facebook. The mail on my spotify account does not sync with my facebook, even though I've changed it. Also, my birthday does not sync either. I listen on a mac and iPhone. Can you help me?",Account & Login,Account & Login,0.789,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
2484443,Spotify is just trolling at this point. Two updates and no iPhone X optimization @115888,App & Technical Issues,App & Technical Issues,0.781,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.78 similarity)
1513486,@SpotifyCares Is this something that will be fixed shortly? I like seeing when exactly in the year things were released,Noise / Unclassifiable,Feature Request / Feedback,0.841,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.84 similarity)
2306935,@SpotifyCares I'm not able to access my Student Spotify Hulu account for some reason. I've already activated it but atm I cant access it.,Account & Login,Account & Login,0.891,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
1795866,@SpotifyCares I’m a Premium user and I cloud play them until recently,Playback & Audio,Playback & Audio,0.822,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.82 similarity)
2414553,"@SpotifyCares On iPhone X, the Spotify app will not resume music after taking a phone call without fully closing and restarting the app. This issue was not present when using iOS 11 on other iOS devices, so i assume it's lack of iPhone X support.",Playback & Audio,App & Technical Issues,0.852,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.85 similarity)
1958591,@SpotifyCares I  want to cancel my premium subscription before the end of month but I am running into all sorts of problems! Please help! 😭,Premium & Subscription,Premium & Subscription,0.931,ESCALATE,Risk category: 'Premium & Subscription' always requires human review (money/account access involved)
1099899,@115888 can you help me https://t.co/NPrvXleikm,Noise / Unclassifiable,Noise / Unclassifiable,0.863,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.86 similarity)
2631723,@115888 where is perfect velvet https://t.co/JmMl0R7zJ9,Content Availability,Content Availability,0.953,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.95 similarity)
189820,@SpotifyCares @160530 So i already have spotify student and a few nights a go i renewed my hulu account so how do i merge the two?,How-to / General Question,Premium & Subscription,0.788,ESCALATE,Risk category: 'Premium & Subscription' always requires human review (money/account access involved)
2910924,@115888 I have a question about the Family Premium Memberships,Premium & Subscription,How-to / General Question,0.802,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
1356627,@SpotifyCares It was working until today,App & Technical Issues,Noise / Unclassifiable,0.924,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.92 similarity)
1514286,@SpotifyCares Your site is freezing while listening to music https://t.co/Xr11TVVjYR,App & Technical Issues,App & Technical Issues,0.798,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.80 similarity)
2035289,Hey @SpotifyCares @151631 I'm trying to find the username I opened my Spotify account with but it's a bunch of letters and numbers ☹️,Account & Login,Account & Login,0.838,ESCALATE,Risk category: 'Account & Login' always requires human review (money/account access involved)
2691960,@SpotifyCares Now that’s service! https://t.co/OMxOT0F9z3,Noise / Unclassifiable,Noise / Unclassifiable,0.9,AUTO_HANDLE,Non-risk intent + strong historical grounding (0.90 similarity)
